spp,growth,site,indiv,flow,heigth_cm,diam_mm,collector,collection_date,notes,sampled,date_last_fire,age_yr
acasua,seed,2001f,1,y,93,4.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acasua,seed,2001f,2,y,79,2.9,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acasua,seed,2001f,3,y,81,3.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acater,seed,2001f,1,n,59,3.3,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acater,seed,2001f,2,n,49,3.1,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acater,seed,2001f,3,n,77,4.8,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acauli,seed,2001f,1,y,91,4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acauli,seed,2001f,2,y,77,3.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acauli,seed,2001f,3,y,92,4.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acauli,seed,2001f,4,y,74,2.4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acauli,seed,2001f,5,n,66,3.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acthel,seed,2001f,1,n,52,3.8,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acthel,seed,2001f,2,n,58,6.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acthel,seed,2001f,3,n,45,3.4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acthel,seed,2001f,4,n,44,3.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acthel,seed,2001f,5,n,52,4.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
aoteri,resp,2001f,1,n,115,3.1,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
corref,resp,2001f,1,y,87,3.8,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
corref,resp,2001f,2,y,72,4.9,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
corref,resp,2001f,3,y,52,3.4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
dilret,seed,2001f,1,n,50,1.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
dilret,seed,2001f,2,n,50,1.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
dilret,seed,2001f,3,n,57,1.6,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
dilret,seed,2001f,4,n,72,7.4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
dilret,seed,2001f,5,n,48,1.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,1,n,98,4.6,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,2,n,56,2.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,3,n,68,3.1,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,4,n,52,2.8,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,5,n,56,3.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,1,n,53,2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,2,n,61,2.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,3,n,66,2.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,4,n,50,2.3,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
gomlat,seed,2001f,5,n,55,2.1,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
leulan,resp,2001f,1,y,122,6.5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
leulan,resp,2001f,2,y,130,5.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
pimlin,seed,2001f,1,n,96,2.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
pimlin,seed,2001f,2,n,83,2.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
pimlin,seed,2001f,3,n,98,3.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
pimlin,seed,2001f,4,n,78,2.6,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
ricpin,seed,2001f,1,n,86,5,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
ricpin,seed,2001f,2,n,25,1.8,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
ricpin,resp,2001f,1,y,112,4.7,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,1,y,42,1.4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,2,y,29,1.4,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,1,n,58,2.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,2,y,63,1.9,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,3,y,45,1.2,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,4,y,49,1.8,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
tetthy,resp,2001f,5,n,27,1.3,Dan&AnnaMaria,2003-03-14,,,2001-10-15,1.41
acasop,seed,2001E,1,n,40,2.2,Mike&Denise&Dan,2002-10-09,,,2001-10-15,0.98
