site,spp,indiv,segment,length,displacement_mass_stem,dry_mass_stem,density_stem,dry_mass_bark,displacement_mass_wood,dry_mass_wood,density_wood,notes
myall,acalon,1,250mm,44.5,0.318,0.1258,0.3954,0.0517,0.174,0.0741,0.4253,
myall,acalon,1,1000mm,48.1,2.494,1.0114,0.4047,0.2358,1.867,0.7756,0.4146,
myall,acalon,2,250mm,34.5,0.359,0.1291,0.3589,0.0483,0.24,0.0808,0.3354,
myall,acalon,2,1000mm,33,1.458,0.6103,0.4177,0.152,1.112,0.4583,0.4113,
myall,acalon,3,250mm,46.3,0.392,0.1465,0.3735,0.0623,0.229,0.0842,0.3674,
myall,acalon,3,1000mm,39.6,1.764,0.7646,0.4327,0.1636,1.343,0.601,0.4465,
myall,acasua,1,250mm,48.7,0.224,0.1052,0.4687,0.0595,0.102,0.0457,0.4489,"stem at 25 not circular, deep furrows, irregular shape"
myall,acasua,1,1000mm,58.3,0.818,0.4242,0.5175,0.1175,0.575,0.3067,0.532,
myall,acasua,2,250mm,52.7,0.239,0.1174,0.4896,0.0579,0.107,0.0595,0.556,
myall,acasua,2,1000mm,34.6,0.579,0.3118,0.5371,0.0763,0.417,0.2355,0.5639,
myall,acasua,3,250mm,36,0.186,0.0913,0.4912,0.0438,0.086,0.0475,0.5538,
myall,acasua,3,1000mm,47,0.628,0.3238,0.515,0.0911,0.432,0.2327,0.5376,
myall,acasua,4,250mm,42.8,0.129,0.0624,0.4824,0.0355,0.056,0.0269,0.4803,
myall,acasua,4,1000mm,64.2,1.433,0.6657,0.4636,0.1743,1.035,0.4914,0.4738,
myall,acater,1,250mm,42.3,0.467,0.2528,0.5402,0.1111,0.25,0.1417,0.5668,
myall,acater,1,1000mm,62.6,3.653,2.2353,0.6107,0.5332,2.537,1.7021,0.6696,
myall,acater,2,250mm,43.1,0.503,0.2739,0.544,0.1283,0.256,0.1456,0.5681,
myall,acater,2,1000mm,44.4,2.122,1.2159,0.5719,0.2733,1.579,0.9426,0.5958,
myall,acater,3,250mm,49.5,0.374,0.217,0.5798,0.0842,0.207,0.1328,0.6418,
myall,acater,3,1000mm,44.6,1.845,1.1745,0.6353,0.2623,1.36,0.9122,0.6695,
myall,acater,4,250mm,41.2,0.373,0.2172,0.581,0.0878,0.196,0.1294,0.6606,
myall,acater,4,1000mm,49.5,2.492,1.7993,0.7206,0.3662,1.934,1.4331,0.7395,
myall,acauli,1,250mm,30.2,0.243,0.1194,0.4896,0.0419,0.128,0.0775,0.6052,
